Book Id,Title,Author,My Rating,Average Rating,Publisher,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Read Count
218445,The Slave Girl,Buchi Emecheta,0,3.83,George Braziller Inc.,180,1980,1977,,28/09/2021,to-read,0
17262755,"Foreign Gods, Inc.",Okey Ndibe,0,3.45,Soho Press,336,2014,2014,,28/09/2021,to-read,0
7767021,"Who Fears Death (Who Fears Death, #1)",Nnedi Okorafor,0,3.95,DAW Hardcover,386,2010,2010,,28/09/2021,to-read,0
2296567,Say You're One of Them,Uwem Akpan,0,3.54,"Little, Brown and Company",358,2009,2008,,28/09/2021,to-read,0
24000578,Boko Haram: Inside Nigeria's Unholy War,Mike Smith,4,3.55,I.B.Tauris,233,2015,2015,28/09/2021,27/06/2020,read,1
1052,The Richest Man in Babylon,George S. Clason,5,4.26,Berkley Books,194,2008,1926,14/09/2021,28/04/2021,read,1
56500174,Product analytics for dummies,Brittany Fuller,4,3.55,Wiley,100,2021,,,14/09/2021,read,1
101094,The Famished Road,Ben Okri,3,3.73,Anchor Books,512,1993,1991,29/08/2021,28/08/2021,read,1
35355006,Design for How People Think: Using Brain Science to Build Better Products,John Whalen,0,3.73,O'Reilly Media,240,2019,,,28/08/2021,to-read,0
23241062,Statistics Done Wrong: The Woefully Complete Guide,Alex Reinhart,0,4.18,No Starch Press,176,2015,2013,,28/08/2021,to-read,0
41392893,"Bayesian Statistics the Fun Way: Understanding Statistics and Probability with Star Wars, Lego, and Rubber Ducks",Will Kurt,0,4.15,No Starch Press,256,2019,,,28/08/2021,to-read,0
23463279,Designing Data-Intensive Applications,Martin Kleppmann,0,4.71,O'Reilly,562,,2015,,28/08/2021,to-read,0
34773227,Practical SQL: A Beginner's Guide to Storytelling with Data,Anthony DeBarros,0,4.27,No Starch Press,392,2018,,,28/08/2021,currently-reading,1
28510003,Practical Recommender Systems,Kim Falk,0,4.11,Manning,432,2019,2019,,25/08/2021,currently-reading,1
35412372,Freshwater,Akwaeke Emezi,4,4.03,Grove Press,229,2018,2018,,25/08/2021,read,1
27036528,Ego Is the Enemy,Ryan Holiday,0,4.14,Portfolio,226,2016,2016,,25/08/2021,currently-reading,1
256466,Ancestor Stones,Aminatta Forna,5,3.79,Atlantic Monthly Press,336,2006,2006,23/08/2021,12/08/2021,read,1
55612579,Zikora,Chimamanda Ngozi Adichie,0,4.29,Amazon Original Stories,39,2020,2020,,26/02/2021,to-read,0
1873060,The Go-Giver: A Little Story About a Powerful Business Idea,Bob Burg,0,4.34,Portfolio,133,2007,2007,,27/07/2021,to-read,0
26156469,Never Split the Difference: Negotiating As If Your Life Depended On It,Chris Voss,0,4.37,Harper Business,274,2016,2016,,27/07/2021,to-read,0
34460583,Building a StoryBrand: Clarify Your Message So Customers Will Listen,Donald  Miller,0,4.28,HarperCollins Leadership,228,2017,2017,,27/07/2021,to-read,0
40549476,This is Marketing: You Can't Be Seen Until You Learn To See,Seth Godin,0,3.97,Penguin,271,2018,2018,,27/07/2021,to-read,0
44782407,Hands-On Data Science for Marketing: Improve your marketing strategies with machine learning using Python and R,Yoon Hyup Hwang,5,4.1,Packt Publishing,464,2019,,,27/07/2021,read,1
865365,Second Class Citizen,Buchi Emecheta,4,4.07,George Braziller Inc.,174,1983,1974,25/07/2021,27/06/2020,read,1
30900534,You Are a Badass at Making Money: Master the Mindset of Wealth,Jen Sincero,0,3.9,Penguin Life,267,2017,2017,,26/06/2021,currently-reading,1
